rank,broker_code,broker_name,purchase_amount,sales_amount,total_amount,difference,matching_amount
1,6,Agrawal Securities Pvt. Limited,70247264.70,1065358787.10,1135606051.80,-995111522.4,6661750.60
2,58,Naasa Securities Co. Ltd.,409266566.04,286443528.58,695710094.62,122823037.46000004,286974513.76
3,28,Shree Krishna Securities Limited,268969915.90,284802135.37,553772051.27,-15832219.470000029,480992380.00
4,94,K.B.L. Securities Limited,417978818.60,38140880.40,456119699.00,379837938.20000005,18600.00
5,63,Himalayan Brokerage Company Limited,287160416.50,21760313.45,308920729.95,265400103.05,3998964.00
6,34,Vision Securities Pvt.Limited,70149273.00,211923929.60,282073202.60,-141774656.6,18063130.80
7,69,INDEX SECURITIES LIMITED,265269426.90,3487415.40,268756842.30,261782011.5,0.00
8,49,Online Securities Limited,150298487.20,105518286.15,255816773.35,44780201.04999998,56013274.00
9,77,Nabil Stock Dealer Limited,65906436.30,146578151.10,212484587.40,-80671714.8,14160.00
10,44,Dynamic Money Managers Securities Pvt.Ltd,125406751.50,57075311.50,182482063.00,68331440.0,1016744.00
11,17,ABC Securities Pvt. Limited,122655594.80,56043937.48,178699532.28,66611657.32,1758713.20
12,45,Imperial Securities Co .Pvt.Limited,92130566.60,76868855.40,168999422.00,15261711.199999988,4637849.80
13,62,Capital Max Securities Limited,92218368.80,64700777.20,156919146.00,27517591.599999994,55865734.80
14,48,Trishakti Securities Public Limited,88110679.20,68649890.60,156760569.80,19460788.60000001,21434183.80
15,56,Sri Hari Securities Pvt.Ltd,74301009.80,81936175.00,156237184.80,-7635165.200000003,15331365.00
