rank,symbol,company_name,transactions,ltp
1,SGHL,Sanigad Hydro Limited,2033,462.00
2,KAHL,Kalanga Hydro Limited,1354,473.00
3,CORBL,Corporate Development Bank Limited,957,1596.50
4,SOPL,Sopan Pharmaceuticals Limited,909,780.00
5,TPKHL,Taksar Pikhuwa Khola Hydropower Limited,840,494.80
6,AKJCL,Ankhukhola Hydropower Company Limited,825,337.00
7,SOHL,Solu Hydropower Limited,784,509.00
8,YMHL,Yambaling Hydropower Limited,617,556.00
9,PCIL,Palpa Cements Industries Limited,564,595.00
10,SNORL,Snow Rivers Limited,543,779.00
11,SYPNL,SY Panel Nepal Limited,501,1255.00
12,RIDI,Ridi Power Company Limited,494,326.00
13,HDL,Himalayan Distillery Limited,488,1140.00
14,API,Api Power Company Limited,482,320.70
15,SHEL,Singati Hydro Energy Limited,462,302.90
