rank,symbol,company_name,close,change,change_percent
1,CORBL,Corporate Development Bank Limited,1596.50,-153.50,-8.77
2,NICFC,NIC Asia Flexi Cap Fund,9.06,-0.43,-4.53
3,BJHL,Bhujung Hydropower Limited,681.00,-31.00,-4.35
4,SBD87,8.5% Sanima Debenture 2087,1150.00,-52.00,-4.33
5,SGHC,Swet-Ganga Hydropower & Construction Limited,320.00,-14.00,-4.19
6,RLEL,Ridge Line Energy Limited,713.00,-30.80,-4.14
7,KBSH,Kutheli Bukhari Small Hydropower Limited,1200.10,-44.90,-3.61
8,DHEL,Daramkhola Hydro Energy Limited,540.10,-19.90,-3.55
9,UHEWA,Upper Hewakhola Hydropower Company Limited,553.00,-20.00,-3.49
10,SYPNL,SY Panel Nepal Limited,1255.00,-44.80,-3.45
11,UPCL,Universal Power Company Limited,342.00,-12.00,-3.39
12,JHAPA,Jhapa Energy Limited,1015.00,-33.00,-3.15
13,SMJC,Sagarmatha Jalbidhyut Company Limited,426.30,-13.70,-3.11
14,NMB50,NMB 50,10.18,-0.31,-2.96
15,SBID89,9% Nepal SBI Bank Debenture 2089,1150.00,-35.00,-2.95
