rank,symbol,company_name,volume,ltp
1,SHEL,Singati Hydro Energy Limited,821873.00,302.90
2,RIDI,Ridi Power Company Limited,494227.00,326.00
3,AKJCL,Ankhukhola Hydropower Company Limited,403201.00,337.00
4,SBL,Siddhartha Bank Limited,284325.00,395.00
5,NGPL,Ngadi Group Power Limited,228603.00,398.00
6,SBD87,8.5% Sanima Debenture 2087,200005.00,1150.00
7,NRN,NRN Infrastructure and Development Limited,169919.00,1344.00
8,NHPC,National Hydro Power Company Limited,169424.00,243.00
9,PRSF,Prabhu Smart Fund,153828.00,12.35
10,CCBD88,10.50% Century Debenture 2088,151035.00,1326.00
11,API,Api Power Company Limited,143676.00,320.70
12,PHCL,Peoples Hydropower Company Limited,141142.00,290.00
13,HIDCLP,Hydroelectricity Investment and Development Company Limited Promoter Share,133299.00,188.00
14,KBL,Kumari Bank Limited,128012.00,210.00
15,UMHL,United Modi Hydropower Limited,123162.00,572.00
