label,value
Total Turnovers (Rs.),"3,532,105,518.27"
Total Traded Shares,"8,701,944"
Total Transaction,"43,990"
Total Scrips Traded,348
Total Market Cap (Rs.),"4,541,153.78 Millions"
Floated Market Cap (Rs.),"1,534,087.37 Millions"
