rank,symbol,company_name,transactions,ltp
1,SGHL,Sanigad Hydro Limited,1888,519.00
2,SOHL,Solu Hydropower Limited,1835,690.00
3,ECL,Everest Colour Limited,1543,1575.00
4,KAHL,Kalanga Hydro Limited,1219,532.00
5,NRN,NRN Infrastructure and Development Limited,921,1430.00
6,CFCL,Central Finance Limited,897,650.00
7,KKHC,Khani Khola Hydropower Company Limited,834,324.00
8,KBL,Kumari Bank Limited,783,219.00
9,TPKHL,Taksar Pikhuwa Khola Hydropower Limited,751,550.00
10,SOPL,Sopan Pharmaceuticals Limited,710,801.10
11,PCIL,Palpa Cements Industries Limited,686,623.00
12,YMHL,Yambaling Hydropower Limited,655,626.00
13,CORBL,Corporate Development Bank Limited,621,1086.00
14,RIDI,Ridi Power Company Limited,572,375.00
15,NGPL,Ngadi Group Power Limited,561,415.00
