rank,symbol,company_name,turnover,ltp
1,NRN,NRN Infrastructure and Development Limited,316012288.00,1430.00
2,CFCL,Central Finance Limited,224849937.40,650.00
3,SOHL,Solu Hydropower Limited,220659992.00,690.00
4,KKHC,Khani Khola Hydropower Company Limited,109993306.30,324.00
5,NGPL,Ngadi Group Power Limited,106969301.30,415.00
6,RIDI,Ridi Power Company Limited,103303829.00,375.00
7,RADHI,Radhi Bidyut Company Limited,101557911.30,729.80
8,AKJCL,Ankhukhola Hydropower Company Limited,94002269.50,363.80
9,KBL,Kumari Bank Limited,86419023.20,219.00
10,RSML,Reliance Spinning Mills Limited,61888695.40,2550.10
11,SANIMA,Sanima Bank Limited,52806750.40,366.00
12,SAHAS,Sahas Urja Limited,48362309.80,672.00
13,GBIME,Global IME Bank Limited,47559040.80,250.00
14,ECL,Everest Colour Limited,45474867.60,1575.00
15,HPPL,Himalayan Power Partner Limited,43170158.70,379.00
