rank,broker_code,broker_name,purchase_amount,sales_amount,total_amount,difference,matching_amount
1,58,Naasa Securities Co. Ltd.,432580581.20,388590257.80,821170839.00,43990323.399999976,153496410.60
2,57,Arya Tara Investment And Securities Pvt. Ltd.,89172538.10,165156025.60,254328563.70,-75983487.5,8805223.80
3,45,Imperial Securities Co .Pvt.Limited,119530364.60,111854026.60,231384391.20,7676338.0,6276686.40
4,42,Sani Securities Company Limited,117200435.70,89371286.94,206571722.64,27829148.760000005,4735363.00
5,34,Vision Securities Pvt.Limited,74954802.08,116098702.48,191053504.56,-41143900.400000006,8564748.56
6,49,Online Securities Limited,86146290.22,101306886.90,187453177.12,-15160596.680000007,4097999.40
7,44,Dynamic Money Managers Securities Pvt.Ltd,93519010.20,83838441.30,177357451.50,9680568.900000006,18526073.80
8,38,Dipshika Dhitopatra Karobar Co. Pvt.Limited,87204399.30,88174084.80,175378484.10,-969685.5,7881846.00
9,35,Kohinoor Investment and Securities Pvt.Ltd,94670546.20,78971276.80,173641823.00,15699269.400000006,7001612.60
10,48,Trishakti Securities Public Limited,98696216.70,67698772.80,166394989.50,30997443.900000006,3373765.20
11,63,Himalayan Brokerage Company Limited,73111199.50,86869398.20,159980597.70,-13758198.700000003,7299148.00
12,62,Capital Max Securities Limited,63301871.70,77912002.90,141213874.60,-14610131.200000003,15785737.00
13,33,Dakshinkali Investment Securities Pvt.Limited,75413522.80,57359950.30,132773473.10,18053572.5,1666781.00
14,17,ABC Securities Pvt. Limited,34609740.80,96250442.40,130860183.20,-61640701.60000001,5517032.00
15,39,Sumeru Securities Pvt.Limited,66074066.00,63272815.05,129346881.05,2801250.950000003,1038392.20
