rank,symbol,company_name,close,change,change_percent
1,ICFCD83,12% ICFC Finance Limited Debenture 2083,1049.00,-185.10,-15.00
2,ULHC,Upper Lohore Khola Hydropower Company Limited,371.20,-65.40,-14.98
3,PBLD86,10.25% Prabhu Bank Debenture 2086,1263.00,-120.20,-8.69
4,LBLD86,10% Laxmi Bank Debenture 2086,1139.00,-71.00,-5.87
5,NCCD86,9.5%  NCC Rinpatra 2086,1116.00,-69.00,-5.82
6,MLBSL,Mahila Laghubitta Bittiya Sanstha Limited,1299.00,-71.00,-5.18
7,CORBL,Corporate Development Bank Limited,1086.00,-54.00,-4.74
8,KBLD89,11% KBL Debenture 2089,1257.00,-56.20,-4.28
9,LUK,Laxmi Unnati Kosh,10.15,-0.44,-4.15
10,UHEWA,Upper Hewakhola Hydropower Company Limited,610.00,-19.90,-3.16
11,MLBBL,Mithila Laghubitta Bittiya Sanstha Limited,1067.00,-32.50,-2.96
12,WNLB,Wean Nepal Laghubitta Bittiya Sanstha Limited,1315.00,-40.00,-2.95
13,NIMBD90,10% NIMB Debenture 2090,1217.00,-36.30,-2.90
14,HEIP,Himalayan Everest Insurance Limited Promoter,328.00,-9.80,-2.90
15,RSML,Reliance Spinning Mills Limited,2550.10,-75.90,-2.89
