rank,symbol,company_name,volume,ltp
1,KBL,Kumari Bank Limited,394307.00,219.00
2,KEF,Kumari Equity Fund,366136.00,10.83
3,CFCL,Central Finance Limited,343174.00,650.00
4,KKHC,Khani Khola Hydropower Company Limited,341070.00,324.00
5,SOHL,Solu Hydropower Limited,319127.00,690.00
6,RIDI,Ridi Power Company Limited,275981.00,375.00
7,AKJCL,Ankhukhola Hydropower Company Limited,259591.00,363.80
8,NGPL,Ngadi Group Power Limited,255946.00,415.00
9,NRN,NRN Infrastructure and Development Limited,224771.00,1430.00
10,NIBLGF,NIBL Growth Fund,201855.00,8.89
11,GBIME,Global IME Bank Limited,189235.00,250.00
12,SBCF,Sunrise Bluechip Fund,170993.00,9.36
13,HIDCL,Hydroelectricity Investment and Development Company Limited,163995.00,265.00
14,SANIMA,Sanima Bank Limited,143595.00,366.00
15,RADHI,Radhi Bidyut Company Limited,142030.00,729.80
