rank,symbol,company_name,transactions,ltp
1,ECL,Everest Colour Limited,5281,1612.00
2,SGHL,Sanigad Hydro Limited,3549,525.60
3,SOHL,Solu Hydropower Limited,3021,662.00
4,KAHL,Kalanga Hydro Limited,2611,554.50
5,RIDI,Ridi Power Company Limited,2376,384.90
6,TPKHL,Taksar Pikhuwa Khola Hydropower Limited,1620,552.00
7,CORBL,Corporate Development Bank Limited,1567,1025.00
8,AKJCL,Ankhukhola Hydropower Company Limited,1499,374.00
9,NHPC,National Hydro Power Company Limited,1256,277.10
10,RSML,Reliance Spinning Mills Limited,1025,2541.60
11,KKHC,Khani Khola Hydropower Company Limited,1003,320.00
12,SOPL,Sopan Pharmaceuticals Limited,927,800.00
13,YMHL,Yambaling Hydropower Limited,924,639.70
14,SYPNL,SY Panel Nepal Limited,799,1280.00
15,HBL,Himalayan Bank Limited,732,194.90
