rank,broker_code,broker_name,purchase_amount,sales_amount,total_amount,difference,matching_amount
1,58,Naasa Securities Co. Ltd.,429560842.83,593848255.79,1023409098.62,-164287412.95999998,100551824.60
2,42,Sani Securities Company Limited,158268683.64,158902998.50,317171682.14,-634314.8600000143,7590995.00
3,45,Imperial Securities Co .Pvt.Limited,168488653.60,116763813.10,285252466.70,51724840.5,11185455.60
4,34,Vision Securities Pvt.Limited,114192549.30,167530456.10,281723005.40,-53337906.8,14077042.00
5,49,Online Securities Limited,158405100.70,120906337.25,279311437.95,37498763.44999999,8097251.00
6,62,Capital Max Securities Limited,126688758.90,127921328.60,254610087.50,-1232569.699999988,44500865.20
7,38,Dipshika Dhitopatra Karobar Co. Pvt.Limited,105377758.70,119884256.20,225262014.90,-14506497.5,6451373.00
8,35,Kohinoor Investment and Securities Pvt.Ltd,104360227.00,113391875.70,217752102.70,-9031648.700000003,3235217.00
9,48,Trishakti Securities Public Limited,111221385.80,103128052.00,214349437.80,8093333.799999997,5911740.40
10,57,Arya Tara Investment And Securities Pvt. Ltd.,113459069.15,85644850.30,199103919.45,27814218.85000001,3189234.40
11,77,Nabil Stock Dealer Limited,108295530.20,87704469.00,195999999.20,20591061.200000003,3134410.00
12,17,ABC Securities Pvt. Limited,81853897.00,111891959.30,193745856.30,-30038062.299999997,27949638.20
13,44,Dynamic Money Managers Securities Pvt.Ltd,84677085.80,95109909.20,179786995.00,-10432823.400000006,1839640.20
14,32,Premier Securites Company Limited,93386683.30,81989904.90,175376588.20,11396778.399999991,1697711.80
15,56,Sri Hari Securities Pvt.Ltd,80332121.81,92445844.90,172777966.71,-12113723.090000004,11985952.60
