rank,symbol,company_name,volume,ltp
1,RIDI,Ridi Power Company Limited,1213509.00,384.90
2,AKJCL,Ankhukhola Hydropower Company Limited,707966.00,374.00
3,NHPC,National Hydro Power Company Limited,683738.00,277.10
4,KKHC,Khani Khola Hydropower Company Limited,525282.00,320.00
5,SOHL,Solu Hydropower Limited,350719.00,662.00
6,KBL,Kumari Bank Limited,289577.00,216.00
7,GBIME,Global IME Bank Limited,246981.00,252.30
8,CFCL,Central Finance Limited,182547.00,675.00
9,LSL,Laxmi Sunrise Bank Limited,173938.00,222.80
10,UMHL,United Modi Hydropower Limited,149441.00,582.10
11,HBL,Himalayan Bank Limited,146075.00,194.90
12,ADBL,Agricultural Development Bank Limited,143216.00,308.80
13,NGPL,Ngadi Group Power Limited,139627.00,412.80
14,MFIL,Manjushree Finance Limited,126180.00,785.00
15,SGHL,Sanigad Hydro Limited,121282.00,525.60
