rank,symbol,company_name,turnover,ltp
1,RIDI,Ridi Power Company Limited,472400346.80,384.90
2,AKJCL,Ankhukhola Hydropower Company Limited,265944335.90,374.00
3,SOHL,Solu Hydropower Limited,237906322.80,662.00
4,NHPC,National Hydro Power Company Limited,194285983.00,277.10
5,KKHC,Khani Khola Hydropower Company Limited,169340525.10,320.00
6,RSML,Reliance Spinning Mills Limited,125711542.90,2541.60
7,CFCL,Central Finance Limited,123793228.10,675.00
8,ECL,Everest Colour Limited,116339684.80,1612.00
9,MFIL,Manjushree Finance Limited,96623222.50,785.00
10,CORBL,Corporate Development Bank Limited,88708019.30,1025.00
11,UMHL,United Modi Hydropower Limited,85222504.50,582.10
12,NRN,NRN Infrastructure and Development Limited,82415969.90,1387.00
13,SYPNL,SY Panel Nepal Limited,80010554.80,1280.00
14,SGHL,Sanigad Hydro Limited,64136544.50,525.60
15,KBL,Kumari Bank Limited,62680317.90,216.00
