rank,symbol,company_name,close,change,change_percent
1,ULHC,Upper Lohore Khola Hydropower Company Limited,407.20,53.10,15.00
2,KAHL,Kalanga Hydro Limited,554.50,24.50,4.62
3,NIBSF2,NIBL Samriddhi Fund - 2,9.00,0.35,4.05
4,NIBLSTF,NIBL Stable Fund,8.79,0.24,2.81
5,SGHL,Sanigad Hydro Limited,525.60,12.60,2.46
6,ECL,Everest Colour Limited,1612.00,37.00,2.35
7,GIBF1,Global IME Balanced Fund-I,10.98,0.25,2.33
8,GUFL,Gurkhas Finance Limited,575.90,12.90,2.29
9,RMF2,RBB Mutual Fund 2,9.85,0.22,2.28
10,SMJC,Sagarmatha Jalbidhyut Company Limited,449.90,9.90,2.25
11,KBSH,Kutheli Bukhari Small Hydropower Limited,970.00,21.00,2.21
12,NABBC,Narayani Development Bank Limited,843.00,18.10,2.19
13,AKJCL,Ankhukhola Hydropower Company Limited,374.00,6.90,1.88
14,SHLB,Shrijanshil Laghubitta Bittiya Sanstha Limited,1476.90,26.90,1.86
15,UNLB,Unique Nepal Laghubitta Bittiya Sanstha Limited,1257.90,20.90,1.69
