rank,symbol,company_name,close,change,change_percent
1,LSH12,LS Horizon 12,9.35,-0.65,-6.50
2,MMF1,Mega Mutual Fund - 1,8.75,-0.52,-5.61
3,LVF2,Laxmi Value Fund-II,9.30,-0.50,-5.10
4,SAEF2,Sanima Equity Fund II,9.50,-0.50,-5.00
5,SNORL,Snow Rivers Limited,881.60,-46.40,-5.00
6,JOSHI,Joshi Hydropower Development Company Limited,284.00,-14.00,-4.70
7,KBLD86,10.25% Kumari Bank Debenture 2086,1080.00,-45.00,-4.00
8,ADBL,Agricultural Development Bank Limited,308.80,-11.20,-3.50
9,C30MF,Citizens Super 30 Mutual Fund,9.90,-0.35,-3.41
10,NLG,NLG Insurance Company Limited,567.00,-18.00,-3.08
11,SEF2,Siddhartha Equity Fund 2,9.16,-0.29,-3.07
12,MBLD2085,10.25% Machhapuchchhre Debenture 2085,1188.30,-36.70,-3.00
13,KHPL,Kalinchowk Hydropower Limited,818.00,-25.00,-2.97
14,GBIMEP,Global IME Bank Limited Promoter Share,101.60,-3.10,-2.96
15,RSML,Reliance Spinning Mills Limited,2541.60,-77.40,-2.96
