label,value
Total Turnovers (Rs.),"4,622,777,442.29"
Total Traded Shares,"10,804,426"
Total Transaction,"60,381"
Total Scrips Traded,347
Total Market Cap (Rs.),"4,561,337.28 Millions"
Floated Market Cap (Rs.),"1,540,025.68 Millions"
