Index,Open,High,Low,Close,Point Change,% Change,Turnover
NEPSE Index,"2,667.41","2,678.22","2,647.72","2,654.15",-13.82,-0.51,"4,622,777,442.28"
Sensitive Index,466.90,470.15,464.18,464.73,-2.62,-0.56,"1,488,688,684.10"
Float Index,183.31,184.16,181.95,182.26,-1.03,-0.56,"4,571,655,650.45"
Sensitive Float Index,158.25,159.22,157.12,157.34,-0.91,-0.57,"1,488,688,684.10"
Banking SubIndex,"1,475.20","1,497.31","1,460.72","1,464.26",-12.52,-0.84,"498,282,463.35"
Development Bank Index,"5,622.32","5,639.58","5,593.31","5,610.56",-21.77,-0.38,"316,082,963.40"
Finance Index,"2,400.08","2,441.23","2,400.08","2,415.14",-2.43,-0.10,"276,621,040.00"
Hotels And Tourism,"7,358.67","7,367.94","7,301.35","7,309.45",-32.47,-0.44,"89,893,245.30"
HydroPower Index,"3,754.44","3,774.31","3,725.39","3,735.06",-14.34,-0.38,"2,470,275,474.40"
Investment,97.49,97.99,97.10,97.26,-0.29,-0.30,"145,884,919.40"
Life Insurance,"11,924.13","11,953.60","11,846.76","11,865.57",-80.71,-0.67,"85,955,444.50"
Manufacturing And Processing,"10,383.09","10,443.01","10,359.71","10,367.79",-93.04,-0.88,"494,607,586.50"
Microfinance Index,"4,580.61","4,583.97","4,552.97","4,562.05",-13.89,-0.30,"98,396,215.70"
Mutual Fund,21.11,21.11,20.87,20.97,-0.13,-0.65,"4,518,819.84"
Non Life Insurance,"10,712.26","10,719.02","10,617.58","10,633.61",-78.64,-0.73,"37,352,773.40"
Others Index,"1,951.08","1,953.94","1,919.84","1,929.45",-5.50,-0.28,"56,064,844.40"
Trading Index,"3,361.29","3,411.23","3,300.58","3,381.30",20.00,0.59,"2,238,680.10"
