rank,symbol,company_name,turnover,ltp
1,GHL,Ghalemdi Hydro Limited,299814548.40,256.70
2,NRN,NRN Infrastructure and Development Limited,166946966.60,1419.80
3,SOHL,Solu Hydropower Limited,157091679.10,680.00
4,CFCL,Central Finance Limited,122258895.40,646.00
5,UMHL,United Modi Hydropower Limited,115951129.50,581.00
6,KKHC,Khani Khola Hydropower Company Limited,110913108.90,320.00
7,RIDI,Ridi Power Company Limited,97045670.70,371.00
8,AKJCL,Ankhukhola Hydropower Company Limited,83602670.90,363.00
9,PCIL,Palpa Cements Industries Limited,75457053.30,650.90
10,NHPC,National Hydro Power Company Limited,65656863.10,271.90
11,LEC,Liberty Energy Company Limited,60123220.70,224.50
12,RSML,Reliance Spinning Mills Limited,55774499.30,2546.10
13,API,Api Power Company Limited,54371708.10,331.60
14,UHEWA,Upper Hewakhola Hydropower Company Limited,53400381.70,633.00
15,NGPL,Ngadi Group Power Limited,52708154.30,413.20
