rank,symbol,company_name,volume,ltp
1,GHL,Ghalemdi Hydro Limited,1184057.00,256.70
2,KEF,Kumari Equity Fund,353620.00,10.97
3,KKHC,Khani Khola Hydropower Company Limited,343949.00,320.00
4,RSY,Reliable Samriddhi Yojana,280158.00,10.50
5,LEC,Liberty Energy Company Limited,266088.00,224.50
6,RIDI,Ridi Power Company Limited,260835.00,371.00
7,NHPC,National Hydro Power Company Limited,241188.00,271.90
8,AKJCL,Ankhukhola Hydropower Company Limited,229686.00,363.00
9,SOHL,Solu Hydropower Limited,228872.00,680.00
10,HDHPC,Himal Dolakha Hydropower Company Limited,211893.00,213.50
11,SSHL,Shiva Shree Hydropower Limited,207956.00,206.40
12,UMHL,United Modi Hydropower Limited,202657.00,581.00
13,BHL,Balephi Hydropower Limited,193280.00,212.00
14,CFCL,Central Finance Limited,190495.00,646.00
15,KBL,Kumari Bank Limited,170849.00,218.00
