label,value
Total Turnovers (Rs.),"3,724,770,077.50"
Total Traded Shares,"10,225,874"
Total Transaction,"45,822"
Total Scrips Traded,347
Total Market Cap (Rs.),"4,559,272.81 Millions"
Floated Market Cap (Rs.),"1,540,065.43 Millions"
