Index,Open,High,Low,Close,Point Change,% Change,Turnover
NEPSE Index,"2,642.77","2,656.54","2,636.93","2,651.21",8.81,0.33,"3,724,731,079.99"
Sensitive Index,465.14,466.08,462.25,464.59,0.97,0.21,"977,027,235.90"
Float Index,181.63,182.54,181.16,182.16,0.60,0.33,"3,690,047,563.89"
Sensitive Float Index,157.34,157.84,156.52,157.33,0.36,0.23,"977,027,235.90"
Banking SubIndex,"1,455.76","1,464.73","1,450.47","1,461.15",5.73,0.39,"336,591,215.00"
Development Bank Index,"5,577.21","5,602.51","5,549.06","5,602.35",29.62,0.53,"133,293,437.30"
Finance Index,"2,360.15","2,396.26","2,360.15","2,392.58",0.29,0.01,"213,576,017.90"
Hotels And Tourism,"7,336.79","7,385.81","7,315.57","7,363.35",26.56,0.36,"58,468,572.00"
HydroPower Index,"3,710.52","3,752.03","3,705.35","3,740.77",21.06,0.56,"2,135,357,845.89"
Investment,99.25,99.38,97.38,98.22,-0.49,-0.49,"228,848,652.30"
Life Insurance,"11,761.98","11,786.17","11,695.42","11,771.43",23.91,0.20,"67,137,114.20"
Manufacturing And Processing,"10,208.96","10,414.72","10,191.20","10,382.96",59.32,0.57,"303,127,116.90"
Microfinance Index,"4,548.84","4,570.09","4,541.26","4,563.32",10.04,0.22,"137,340,255.10"
Mutual Fund,20.95,20.99,20.80,20.90,-0.04,-0.22,"11,982,709.86"
Non Life Insurance,"10,593.48","10,631.69","10,537.09","10,631.69",55.13,0.52,"24,599,663.50"
Others Index,"1,942.53","1,958.66","1,909.17","1,921.33",6.23,0.32,"51,069,924.80"
Trading Index,"3,325.58","3,343.65","3,298.43","3,325.58",0.00,0.00,"637,749.00"
