rank,broker_code,broker_name,purchase_amount,sales_amount,total_amount,difference,matching_amount
1,58,Naasa Securities Co. Ltd.,326153068.91,343191822.50,669344891.41,-17038753.589999974,70349533.80
2,42,Sani Securities Company Limited,142675774.67,158586464.90,301262239.57,-15910690.23000002,61881138.40
3,62,Capital Max Securities Limited,126328837.85,146108189.90,272437027.75,-19779352.050000012,54634166.80
4,32,Premier Securites Company Limited,68603050.85,162061118.10,230664168.95,-93458067.25,3946428.00
5,48,Trishakti Securities Public Limited,125460712.10,103589696.20,229050408.30,21871015.89999999,10343777.40
6,45,Imperial Securities Co .Pvt.Limited,113942844.90,113938269.90,227881114.80,4575.0,8364065.20
7,34,Vision Securities Pvt.Limited,121646890.90,98481472.55,220128363.45,23165418.35000001,7718259.20
8,44,Dynamic Money Managers Securities Pvt.Ltd,100926521.50,116629730.80,217556252.30,-15703209.299999997,10026271.20
9,49,Online Securities Limited,106020413.39,82735313.00,188755726.39,23285100.39,4221095.20
10,41,Linch Stock Market Limited,86151167.40,95566770.90,181717938.30,-9415603.5,1121556.00
11,39,Sumeru Securities Pvt.Limited,88998145.40,77216267.00,166214412.40,11781878.400000006,13247463.60
12,38,Dipshika Dhitopatra Karobar Co. Pvt.Limited,57183284.69,98122804.00,155306088.69,-40939519.31,3593101.20
13,14,Nepal Stock House Pvt. Limited,58305908.50,90153270.05,148459178.55,-31847361.549999997,16706712.00
14,57,Arya Tara Investment And Securities Pvt. Ltd.,68078127.80,72460279.90,140538407.70,-4382152.100000009,1180510.40
15,35,Kohinoor Investment and Securities Pvt.Ltd,75074286.70,58657900.26,133732186.96,16416386.440000005,2492367.00
