rank,symbol,company_name,transactions,ltp
1,GHL,Ghalemdi Hydro Limited,2842,256.70
2,SGHL,Sanigad Hydro Limited,1724,516.00
3,PCIL,Palpa Cements Industries Limited,1630,650.90
4,SOHL,Solu Hydropower Limited,1453,680.00
5,KAHL,Kalanga Hydro Limited,1065,539.00
6,SOPL,Sopan Pharmaceuticals Limited,736,805.00
7,LEC,Liberty Energy Company Limited,646,224.50
8,TPKHL,Taksar Pikhuwa Khola Hydropower Limited,643,542.00
9,HDHPC,Himal Dolakha Hydropower Company Limited,602,213.50
10,KKHC,Khani Khola Hydropower Company Limited,583,320.00
11,ECL,Everest Colour Limited,581,1559.90
12,SSHL,Shiva Shree Hydropower Limited,576,206.40
13,NHPC,National Hydro Power Company Limited,533,271.90
14,YMHL,Yambaling Hydropower Limited,525,623.00
15,RSML,Reliance Spinning Mills Limited,519,2546.10
