label,value
Total Turnovers (Rs.),"4,409,886,457.71"
Total Traded Shares,"10,067,732"
Total Transaction,"61,286"
Total Scrips Traded,350
Total Market Cap (Rs.),"4,585,101.45 Millions"
Floated Market Cap (Rs.),"1,548,740.27 Millions"
