rank,symbol,company_name,close,change,change_percent
1,SOHL,Solu Hydropower Limited,672.70,87.70,14.99
2,SIPD,Shikhar Power Development Limited,699.00,39.00,5.91
3,RIDI,Ridi Power Company Limited,384.00,21.00,5.79
4,GWFD83,12% Goodwill Finance Limited Debenture 2083,1085.00,54.80,5.32
5,BNHC,Buddha Bhumi Nepal Hydropower Company Limited,291.00,13.00,4.68
6,SPDL,Synergy Power Development Limited,371.00,14.90,4.18
7,YMHL,Yambaling Hydropower Limited,639.60,22.60,3.66
8,BNT,Bottlers Nepal (Terai) Limited,11700.00,369.50,3.26
9,CITY,City Hotel Limited,378.90,11.80,3.21
10,MMF1,Mega Mutual Fund - 1,9.27,0.27,3.00
11,BHPL,Barahi Hydropower Public Limited,497.00,14.00,2.90
12,KKHC,Khani Khola Hydropower Company Limited,325.00,9.10,2.88
13,BGWT,Bhagawati Hydropower Development Company Limited,573.00,16.00,2.87
14,RBBD2088,7% RBBL Debenture 2088,1056.00,29.30,2.85
15,SMH,Supermai Hydropower  Limited,514.00,14.00,2.80
