rank,symbol,company_name,transactions,ltp
1,ECL,Everest Colour Limited,8885,1575.00
2,SOHL,Solu Hydropower Limited,5961,672.70
3,SGHL,Sanigad Hydro Limited,2802,513.00
4,KAHL,Kalanga Hydro Limited,1766,530.00
5,KKHC,Khani Khola Hydropower Company Limited,1759,325.00
6,RIDI,Ridi Power Company Limited,1306,384.00
7,TPKHL,Taksar Pikhuwa Khola Hydropower Limited,1073,545.00
8,YMHL,Yambaling Hydropower Limited,987,639.60
9,SOPL,Sopan Pharmaceuticals Limited,978,815.00
10,NHPC,National Hydro Power Company Limited,894,281.90
11,CORBL,Corporate Development Bank Limited,860,1035.00
12,SIPD,Shikhar Power Development Limited,840,699.00
13,PCIL,Palpa Cements Industries Limited,812,644.00
14,RSML,Reliance Spinning Mills Limited,715,2619.00
15,KBL,Kumari Bank Limited,678,219.00
