rank,symbol,company_name,turnover,ltp
1,SOHL,Solu Hydropower Limited,581080486.70,672.70
2,RIDI,Ridi Power Company Limited,348490223.40,384.00
3,KKHC,Khani Khola Hydropower Company Limited,277741348.40,325.00
4,ECL,Everest Colour Limited,179249169.70,1575.00
5,CFCL,Central Finance Limited,163834943.50,680.00
6,NRN,NRN Infrastructure and Development Limited,107912400.90,1394.00
7,AKJCL,Ankhukhola Hydropower Company Limited,99592254.30,367.10
8,NHPC,National Hydro Power Company Limited,90493660.30,281.90
9,SBL,Siddhartha Bank Limited,85684621.30,417.00
10,RSML,Reliance Spinning Mills Limited,84402232.00,2619.00
11,GBIME,Global IME Bank Limited,74417002.50,253.20
12,KBL,Kumari Bank Limited,71584092.70,219.00
13,SIPD,Shikhar Power Development Limited,54876971.60,699.00
14,MFIL,Manjushree Finance Limited,54173765.90,773.00
15,LBBL,Lumbini Bikas Bank Limited,54020835.80,500.00
