rank,broker_code,broker_name,purchase_amount,sales_amount,total_amount,difference,matching_amount
1,58,Naasa Securities Co. Ltd.,475050834.96,448106377.52,923157212.48,26944457.439999998,104001895.12
2,42,Sani Securities Company Limited,146347974.70,162433597.40,308781572.10,-16085622.700000018,16331458.60
3,34,Vision Securities Pvt.Limited,120328397.30,161836639.89,282165037.19,-41508242.58999999,14905606.00
4,45,Imperial Securities Co .Pvt.Limited,126478553.70,131290092.80,257768646.50,-4811539.099999994,6716678.60
5,49,Online Securities Limited,135766793.00,113143652.80,248910445.80,22623140.200000003,6182072.80
6,77,Nabil Stock Dealer Limited,158252671.70,61607840.70,219860512.40,96644830.99999999,17831542.00
7,32,Premier Securites Company Limited,80746662.40,119869061.00,200615723.40,-39122398.599999994,327202.60
8,17,ABC Securities Pvt. Limited,73763613.50,123380240.80,197143854.30,-49616627.3,12996356.40
9,56,Sri Hari Securities Pvt.Ltd,104686329.70,91251880.40,195938210.10,13434449.299999997,17004646.00
10,57,Arya Tara Investment And Securities Pvt. Ltd.,95996964.80,94008463.90,190005428.70,1988500.899999991,4920688.00
11,48,Trishakti Securities Public Limited,96530855.90,92831579.50,189362435.40,3699276.400000006,4903811.60
12,44,Dynamic Money Managers Securities Pvt.Ltd,106919597.30,74831370.50,181750967.80,32088226.799999997,7370454.60
13,35,Kohinoor Investment and Securities Pvt.Ltd,75320435.50,104545921.80,179866357.30,-29225486.299999997,3712202.00
14,38,Dipshika Dhitopatra Karobar Co. Pvt.Limited,68661190.20,102070537.50,170731727.70,-33409347.299999997,1681388.20
15,26,Asian Securities Pvt. Limited,68582346.10,83378391.30,151960737.40,-14796045.200000003,1108063.00
