Index,Open,High,Low,Close,Point Change,% Change,Turnover
NEPSE Index,"2,665.42","2,673.12","2,652.91","2,667.97",4.79,0.18,"4,409,872,057.71"
Sensitive Index,468.17,468.94,464.98,467.36,-0.60,-0.12,"1,407,074,380.90"
Float Index,183.60,183.76,182.63,183.29,-0.03,-0.02,"4,372,757,985.39"
Sensitive Float Index,158.76,158.90,157.60,158.26,-0.30,-0.19,"1,407,074,380.90"
Banking SubIndex,"1,487.97","1,488.02","1,470.67","1,476.78",-6.35,-0.42,"503,468,703.90"
Development Bank Index,"5,666.32","5,675.69","5,618.56","5,632.33",-28.46,-0.50,"264,377,630.30"
Finance Index,"2,418.09","2,430.20","2,405.13","2,417.57",-8.42,-0.34,"286,486,283.70"
Hotels And Tourism,"7,297.57","7,349.19","7,287.63","7,341.93",16.75,0.22,"79,771,819.70"
HydroPower Index,"3,690.92","3,749.52","3,680.47","3,749.40",53.79,1.45,"2,310,703,483.89"
Investment,97.51,98.47,96.82,97.56,-0.05,-0.06,"167,734,031.20"
Life Insurance,"11,954.84","11,959.80","11,902.13","11,946.28",-8.72,-0.07,"66,326,579.90"
Manufacturing And Processing,"10,519.76","10,524.19","10,382.06","10,460.84",2.25,0.02,"461,630,683.90"
Microfinance Index,"4,593.54","4,598.68","4,561.95","4,575.94",-14.97,-0.32,"109,092,923.10"
Mutual Fund,21.12,21.13,20.98,21.11,-0.01,-0.06,"4,927,461.32"
Non Life Insurance,"10,756.86","10,794.60","10,658.46","10,712.26",-11.33,-0.10,"19,203,590.10"
Others Index,"1,924.74","1,952.08","1,922.32","1,934.96",5.20,0.26,"101,610,657.70"
Trading Index,"3,308.16","3,393.88","3,266.73","3,361.29",53.13,1.60,"2,351,598.00"
