rank,symbol,company_name,close,change,change_percent
1,ECL,Everest Colour Limited,1575.00,-156.40,-9.03
2,KSBBLD87,9% Kamana Sewa Bikas Bank Limited Debenture 2087,1087.70,-104.50,-8.77
3,MFLD85,9.5%  Manjushree Finance Ltd. Debenture 2085,1116.00,-71.50,-6.02
4,NBLD82,10% Nabil Bank Debenture 2082,1024.00,-62.00,-5.71
5,PBLD84,10% Prabhu Bank Debenture 2084 (PBLD84),1057.20,-62.70,-5.60
6,SEF2,Siddhartha Equity Fund 2,9.45,-0.55,-5.50
7,KBLD86,10.25% Kumari Bank Debenture 2086,1125.00,-55.00,-4.66
8,CORBL,Corporate Development Bank Limited,1035.00,-35.50,-3.32
9,SLBSL,Samudayik Laghubitta Bittiya Sanstha Limited,990.00,-33.00,-3.23
10,RSML,Reliance Spinning Mills Limited,2619.00,-86.00,-3.18
11,NCCD86,9.5%  NCC Rinpatra 2086,1164.00,-36.00,-3.00
12,NIMBD90,10% NIMB Debenture 2090,1253.30,-38.70,-3.00
13,NIBLGF,NIBL Growth Fund,9.43,-0.29,-2.98
14,PBD85,8.75% Prime Debenture 2085,1077.00,-33.00,-2.97
15,NABILD87,9% Nabil Debenture 2087,1116.00,-34.00,-2.96
