rank,symbol,company_name,volume,ltp
1,RIDI,Ridi Power Company Limited,931453.00,384.00
2,SOHL,Solu Hydropower Limited,909305.00,672.70
3,KKHC,Khani Khola Hydropower Company Limited,863331.00,325.00
4,KBL,Kumari Bank Limited,326366.00,219.00
5,NHPC,National Hydro Power Company Limited,322098.00,281.90
6,GBIME,Global IME Bank Limited,290873.00,253.20
7,AKJCL,Ankhukhola Hydropower Company Limited,274641.00,367.10
8,CFCL,Central Finance Limited,243275.00,680.00
9,SBL,Siddhartha Bank Limited,206225.00,417.00
10,PCBLP,Prime Commercial Bank Limited Promoter Share,200000.00,103.00
11,HPPL,Himalayan Power Partner Limited,137172.00,386.50
12,CITY,City Hotel Limited,121792.00,378.90
13,JOSHI,Joshi Hydropower Development Company Limited,112792.00,298.00
14,LSL,Laxmi Sunrise Bank Limited,110032.00,224.70
15,LBBL,Lumbini Bikas Bank Limited,107373.00,500.00
