rank,symbol,company_name,close,change,change_percent
1,LEC,Liberty Energy Company Limited,246.10,32.10,15.00
2,DOLTI,Dolti Power Company Ltd,299.00,22.70,8.22
3,ULHC,Upper Lohore Khola Hydropower Company Limited,320.00,21.00,7.02
4,ENL,Emerging Nepal Limited,620.00,32.10,5.46
5,SSHL,Shiva Shree Hydropower Limited,200.40,9.40,4.92
6,CFCL,Central Finance Limited,586.00,25.00,4.46
7,JFL,Janaki Finance Company Limited,278.00,11.40,4.28
8,HDHPC,Himal Dolakha Hydropower Company Limited,205.00,8.00,4.06
9,GHL,Ghalemdi Hydro Limited,235.90,7.90,3.46
10,SBLD2091,7.25% SBL Debenture 2091,1118.90,36.90,3.41
11,C30MF,Citizens Super 30 Mutual Fund,10.05,0.30,3.08
12,NABILD2089,7% Nabil Debenture 2089,1100.00,32.00,3.00
13,NIFRAGED,6% Nifra Harit Urja Debenture 2088/89,1040.30,30.30,3.00
14,RBCLPO,Rastriya Beema Company Limited Promoter Share,11546.30,336.30,3.00
15,NICGF2,NIC Asia Growth Fund 2,8.96,0.26,2.99
