Index,Open,High,Low,Close,Point Change,% Change,Turnover
NEPSE Index,"2,544.24","2,546.10","2,525.69","2,531.55",-13.85,-0.54,"4,000,971,898.76"
Sensitive Index,452.67,452.74,449.16,449.93,-2.40,-0.53,"1,368,385,009.20"
Float Index,174.52,174.64,173.34,173.82,-0.83,-0.47,"3,971,171,907.80"
Sensitive Float Index,152.71,152.75,151.49,151.78,-0.80,-0.52,"1,368,385,009.20"
Banking SubIndex,"1,446.93","1,447.06","1,436.49","1,437.96",-6.93,-0.47,"539,800,778.60"
Development Bank Index,"5,295.01","5,314.60","5,268.74","5,294.63",-18.20,-0.34,"220,875,216.70"
Finance Index,"2,189.93","2,203.43","2,166.39","2,183.58",-14.70,-0.66,"128,969,151.90"
Hotels And Tourism,"6,952.10","7,039.04","6,915.02","6,952.45",-35.32,-0.50,"167,431,548.50"
HydroPower Index,"3,488.48","3,495.37","3,462.21","3,477.88",-19.47,-0.55,"1,794,072,313.60"
Investment,94.26,94.46,93.19,93.90,-0.36,-0.38,"279,662,062.90"
Life Insurance,"11,209.92","11,226.58","11,104.17","11,189.78",-19.32,-0.17,"47,827,871.40"
Manufacturing And Processing,"10,635.23","10,642.82","10,442.70","10,458.45",-121.00,-1.14,"551,934,925.70"
Microfinance Index,"4,410.79","4,412.75","4,366.67","4,391.68",-25.03,-0.56,"124,311,407.40"
Mutual Fund,19.58,19.60,19.37,19.48,-0.11,-0.57,"8,661,933.17"
Non Life Insurance,"9,335.62","9,335.62","9,226.79","9,262.31",-73.30,-0.78,"43,404,994.50"
Others Index,"1,787.08","1,799.52","1,780.43","1,783.59",-11.60,-0.64,"57,903,557.90"
Trading Index,"3,187.88","3,229.57","3,155.36","3,179.06",-8.81,-0.27,"14,978,078.70"
