label,value
Total Turnovers (Rs.),"4,000,971,898.77"
Total Traded Shares,"10,588,653"
Total Transaction,"44,198"
Total Scrips Traded,341
Total Market Cap (Rs.),"4,354,603.18 Millions"
Floated Market Cap (Rs.),"1,469,806.71 Millions"
