rank,symbol,company_name,transactions,ltp
1,LEC,Liberty Energy Company Limited,3125,246.10
2,SAPIL,Sarvottam Paints Industries Limited,1184,1268.00
3,SGHL,Sanigad Hydro Limited,1038,486.00
4,SOHL,Solu Hydropower Limited,938,640.00
5,KDL,Kalinchowk Darshan Limited,788,620.30
6,RSML,Reliance Spinning Mills Limited,751,2910.00
7,MEPDL,Mount Everest Power Development Limited,739,616.00
8,KAHL,Kalanga Hydro Limited,655,484.00
9,PCIL,Palpa Cements Industries Limited,596,598.90
10,GHL,Ghalemdi Hydro Limited,589,235.90
11,CHCL,Chilime Hydro power Company Limited,582,346.00
12,GBIME,Global IME Bank Limited,577,248.60
13,HRL,Himalayan Reinsurance Limited,566,499.90
14,CORBL,Corporate Development Bank Limited,554,814.00
15,NRN,NRN Infrastructure and Development Limited,549,1419.00
