rank,symbol,company_name,turnover,ltp
1,LEC,Liberty Energy Company Limited,454888630.70,246.10
2,RSML,Reliance Spinning Mills Limited,211267268.20,2910.00
3,NRN,NRN Infrastructure and Development Limited,191155095.70,1419.00
4,SBI,Nepal SBI Bank Limited,167934134.90,403.90
5,RIDI,Ridi Power Company Limited,113544941.90,346.80
6,SOHL,Solu Hydropower Limited,82255027.00,640.00
7,GBBL,Garima Bikas Bank Limited,80778042.80,440.60
8,TAMOR,Sanima Middle Tamor Hydropower Limited,73678729.60,489.00
9,SYPNL,SY Panel Nepal Limited,67310345.10,1321.00
10,SHIVM,Shivam Cements Limited,65476402.30,653.60
11,KDL,Kalinchowk Darshan Limited,64647653.40,620.30
12,API,Api Power Company Limited,55189159.40,326.00
13,GBIME,Global IME Bank Limited,55162131.00,248.60
14,AKJCL,Ankhukhola Hydropower Company Limited,52357082.10,332.10
15,SAPIL,Sarvottam Paints Industries Limited,51905553.50,1268.00
