rank,broker_code,broker_name,purchase_amount,sales_amount,total_amount,difference,matching_amount
1,58,Naasa Securities Co. Ltd.,406042905.16,336721182.23,742764087.39,69321722.93,89643557.60
2,42,Sani Securities Company Limited,290550015.20,276578507.60,567128522.80,13971507.599999964,302110771.40
3,49,Online Securities Limited,115790454.50,177128740.40,292919194.90,-61338285.900000006,10829759.20
4,44,Dynamic Money Managers Securities Pvt.Ltd,154488622.40,131974299.50,286462921.90,22514322.900000006,59572410.80
5,45,Imperial Securities Co. Limited,133248466.00,151926894.00,285175360.00,-18678428.0,12259953.40
6,48,Trishakti Securities Public Limited,106395868.60,122834086.80,229229955.40,-16438218.200000003,22771803.80
7,14,Nepal Stock House Pvt. Limited,137232713.60,88114189.80,225346903.40,49118523.8,30325224.00
8,34,Vision Securities Pvt.Limited,76379445.60,101475529.60,177854975.20,-25096084.0,4269845.20
9,32,Premier Securites Company Limited,83399300.20,87654363.00,171053663.20,-4255062.799999997,1469259.00
10,38,Dipshika Dhitopatra Karobar Co. Pvt.Limited,46779540.40,114636121.40,161415661.80,-67856581.0,2463533.20
11,33,Dakshinkali Investment Securities Pvt.Limited,98219006.90,63001320.90,161220327.80,35217686.00000001,4853200.00
12,21,Midas Stock Broking Company Pvt. Limited,78448217.90,79324289.60,157772507.50,-876071.6999999881,1058816.00
13,35,Kohinoor Investment and Securities Pvt.Ltd,78931737.70,66666414.80,145598152.50,12265322.900000006,6785842.80
14,57,Arya Tara Investment And Securities Pvt. Ltd.,63893444.20,81080252.80,144973697.00,-17186808.599999994,3691317.20
15,16,Primo Securities Pvt. Limited,94536229.20,45239201.10,139775430.30,49297028.1,1350365.00
