rank,symbol,company_name,volume,ltp
1,LEC,Liberty Energy Company Limited,1927027.00,246.10
2,SBI,Nepal SBI Bank Limited,419124.00,403.90
3,GIBF1,Global IME Balanced Fund-I,355555.00,11.25
4,RIDI,Ridi Power Company Limited,327974.00,346.80
5,RHPL,Rasuwagadhi Hydropower Company Limited,236673.00,167.00
6,GBIME,Global IME Bank Limited,221176.00,248.60
7,GHL,Ghalemdi Hydro Limited,192055.00,235.90
8,SSHL,Shiva Shree Hydropower Limited,184682.00,200.40
9,GBBL,Garima Bikas Bank Limited,182771.00,440.60
10,API,Api Power Company Limited,169478.00,326.00
11,HDHPC,Himal Dolakha Hydropower Company Limited,163051.00,205.00
12,AKJCL,Ankhukhola Hydropower Company Limited,156469.00,332.10
13,TAMOR,Sanima Middle Tamor Hydropower Limited,150330.00,489.00
14,NRN,NRN Infrastructure and Development Limited,135300.00,1419.00
15,KBL,Kumari Bank Limited,129317.00,212.20
