Index,Open,High,Low,Close,Point Change,% Change,Turnover
NEPSE Index,"2,671.81","2,679.90","2,610.45","2,633.62",48.57,1.87,"8,290,017,115.60"
Sensitive Index,473.09,473.85,462.82,467.45,9.19,2.00,"3,369,437,139.60"
Float Index,183.54,184.20,179.30,181.13,3.56,2.00,"8,211,964,784.10"
Sensitive Float Index,159.81,160.08,156.21,157.91,3.13,2.02,"3,369,437,139.60"
Banking SubIndex,"1,512.21","1,515.39","1,472.30","1,488.36",27.85,1.90,"1,176,378,855.50"
Development Bank Index,"5,542.34","5,553.33","5,447.20","5,492.54",95.08,1.76,"453,624,146.10"
Finance Index,"2,293.18","2,308.15","2,247.09","2,280.33",49.78,2.23,"269,820,540.50"
Hotels And Tourism,"7,424.84","7,435.28","7,122.79","7,186.66",100.80,1.42,"188,572,830.60"
HydroPower Index,"3,702.05","3,720.65","3,613.02","3,648.98",65.98,1.84,"3,631,788,796.50"
Investment,99.07,100.87,97.18,98.42,2.42,2.52,"561,955,931.10"
Life Insurance,"11,901.94","11,983.04","11,607.77","11,761.61",297.41,2.59,"231,257,692.60"
Manufacturing And Processing,"10,813.69","10,900.04","10,636.93","10,679.31",82.49,0.77,"1,119,613,388.10"
Microfinance Index,"4,635.32","4,646.57","4,507.33","4,547.63",78.25,1.75,"287,312,857.30"
Mutual Fund,19.44,19.63,19.41,19.63,0.19,1.00,"8,989,745.31"
Non Life Insurance,"9,829.44","9,928.39","9,682.60","9,835.84",270.66,2.82,"128,588,706.10"
Others Index,"1,874.80","1,885.85","1,835.62","1,854.80",38.68,2.12,"146,225,713.00"
Trading Index,"3,428.82","3,686.36","3,234.76","3,298.63",30.27,0.92,"16,825,326.70"
