rank,symbol,company_name,close,change,change_percent
1,DLBS,Dhaulagiri Laghubitta Bittiya Sanstha Limited,1119.00,145.60,14.96
2,SINDU,Sindhu Bikas Bank Limited,450.00,44.70,11.03
3,MPFL,Multipurpose Finance Company Limited,620.00,55.00,9.73
4,JFL,Janaki Finance Company Limited,295.00,22.00,8.06
5,MSHL,Mid Solu Hydropower Company Limited,560.00,35.00,6.67
6,JOSHI,Joshi Hydropower Development Company Limited,271.80,15.70,6.13
7,RBCLPO,Rastriya Beema Company Limited Promoter Share,11882.00,682.00,6.09
8,TVCL,Trishuli Jal Vidhyut Company Limited,317.60,17.60,5.87
9,SPIL,Siddhartha Premier Insurance Limited,639.00,35.00,5.79
10,NICBF,NIC ASIA Balanced Fund,8.95,0.48,5.67
11,BFC,Best Finance Company Limited,470.10,24.10,5.40
12,IHL,Ingwa Hydropower Ltd,326.50,16.50,5.32
13,NICA,NIC Asia Bank Limited,329.90,15.90,5.06
14,AHL,Asian Hydropower Limited,376.10,18.10,5.06
15,SPDL,Synergy Power Development Limited,370.00,17.50,4.96
