rank,symbol,company_name,transactions,ltp
1,API,Api Power Company Limited,1736,343.90
2,SGHL,Sanigad Hydro Limited,1445,508.30
3,SHIVM,Shivam Cements Limited,1374,681.00
4,RSML,Reliance Spinning Mills Limited,1326,2879.00
5,LEC,Liberty Energy Company Limited,1303,256.80
6,SOHL,Solu Hydropower Limited,1171,654.00
7,MEPDL,Mount Everest Power Development Limited,1111,673.50
8,PCIL,Palpa Cements Industries Limited,1002,632.10
9,KBL,Kumari Bank Limited,984,221.60
10,SAPIL,Sarvottam Paints Industries Limited,911,1420.00
11,KAHL,Kalanga Hydro Limited,893,506.00
12,TAMOR,Sanima Middle Tamor Hydropower Limited,888,527.00
13,AKJCL,Ankhukhola Hydropower Company Limited,851,353.00
14,UPPER,Upper Tamakoshi Hydropower Limited,847,199.00
15,SINDU,Sindhu Bikas Bank Limited,829,450.00
