rank,symbol,company_name,turnover,ltp
1,RSML,Reliance Spinning Mills Limited,327007876.40,2879.00
2,SHIVM,Shivam Cements Limited,315697044.30,681.00
3,API,Api Power Company Limited,284415814.00,343.90
4,NRN,NRN Infrastructure and Development Limited,282950618.80,1468.00
5,LEC,Liberty Energy Company Limited,273332785.20,256.80
6,LSL,Laxmi Sunrise Bank Limited,195606898.30,236.30
7,TAMOR,Sanima Middle Tamor Hydropower Limited,174212641.30,527.00
8,SOHL,Solu Hydropower Limited,162221644.00,654.00
9,NGPL,Ngadi Group Power Limited,137126877.10,417.00
10,GBBL,Garima Bikas Bank Limited,135068454.10,455.00
11,SANIMA,Sanima Bank Limited,133555278.50,375.00
12,AKJCL,Ankhukhola Hydropower Company Limited,122416780.00,353.00
13,CHDC,CEDB Holdings Limited,115259596.70,2318.00
14,RIDI,Ridi Power Company Limited,113904309.20,355.00
15,MEN,Mountain Energy Nepal Limited,108971422.80,651.00
