rank,symbol,company_name,volume,ltp
1,LEC,Liberty Energy Company Limited,1062567.00,256.80
2,LSL,Laxmi Sunrise Bank Limited,838214.00,236.30
3,API,Api Power Company Limited,825838.00,343.90
4,SHIVM,Shivam Cements Limited,462655.00,681.00
5,KBL,Kumari Bank Limited,428456.00,221.60
6,SANIMA,Sanima Bank Limited,356506.00,375.00
7,AKJCL,Ankhukhola Hydropower Company Limited,345701.00,353.00
8,TAMOR,Sanima Middle Tamor Hydropower Limited,332158.00,527.00
9,NGPL,Ngadi Group Power Limited,331950.00,417.00
10,RIDI,Ridi Power Company Limited,319097.00,355.00
11,GBIME,Global IME Bank Limited,315862.00,257.10
12,HURJA,Himalaya Urja Bikas Company Limited,308689.00,263.00
13,HIDCLP,Hydroelectricity Investment and Development Company Limited Promoter Share,308640.00,193.90
14,GBBL,Garima Bikas Bank Limited,298241.00,455.00
15,NHPC,National Hydro Power Company Limited,284481.00,267.50
