label,value
Total Turnovers (Rs.),"8,290,017,115.61"
Total Traded Shares,"20,387,413"
Total Transaction,"78,869"
Total Scrips Traded,347
Total Market Cap (Rs.),"4,530,180.62 Millions"
Floated Market Cap (Rs.),"1,531,678.33 Millions"
