rank,broker_code,broker_name,purchase_amount,sales_amount,total_amount,difference,matching_amount
1,58,Naasa Securities Co. Ltd.,568668282.28,606689587.43,1175357869.71,-38021305.149999976,89766068.16
2,44,Dynamic Money Managers Securities Pvt.Ltd,275152591.70,357588736.70,632741328.40,-82436145.0,55655960.20
3,49,Online Securities Limited,323463929.16,302562015.20,626025944.36,20901913.96000004,32456063.00
4,45,Imperial Securities Co. Limited,330079238.00,282854358.90,612933596.90,47224879.100000024,22139540.00
5,42,Sani Securities Company Limited,263263906.40,275590283.50,538854189.90,-12326377.099999994,23687330.20
6,34,Vision Securities Pvt.Limited,259757660.00,247686987.60,507444647.60,12070672.400000006,14463535.80
7,14,Nepal Stock House Pvt. Limited,269527013.95,221358172.40,490885186.35,48168841.54999998,7118474.00
8,57,Arya Tara Investment And Securities Pvt. Ltd.,245775021.70,200387089.50,446162111.20,45387932.19999999,21132101.20
9,48,Trishakti Securities Public Limited,213178909.12,216194976.20,429373885.32,-3016067.0799999833,16753211.80
10,4,Stock Broker Opal Securities Investment Pvt. Limited,137097824.14,261373854.20,398471678.34,-124276030.06,19440987.60
11,17,ABC Securities Pvt. Limited,159194830.69,234697398.50,393892229.19,-75502567.81,8673546.80
12,38,Dipshika Dhitopatra Karobar Co. Pvt.Limited,188990752.03,165302637.29,354293389.32,23688114.74000001,3738344.00
13,33,Dakshinkali Investment Securities Pvt.Limited,205477454.50,146643877.60,352121332.10,58833576.900000006,23040349.00
14,77,Nabil Stock Dealer Limited,168132082.60,164746348.40,332878431.00,3385734.199999988,17483990.00
15,62,Capital Max Securities Limited,155323847.10,163595773.10,318919620.20,-8271926.0,6232693.00
