rank,symbol,company_name,close,change,change_percent
1,ULBSL,Upakar Laghubitta Bittiya Sanstha Limited,2494.00,-231.00,-8.48
2,HEIP,Himalayan Everest Insurance Limited Promoter,300.10,-17.90,-5.63
3,GCIL,Ghorahi Cement Industry Limited,376.00,-22.00,-5.53
4,CYCL,CYC Nepal Laghubitta Bittiya Sanstha Limited,1528.00,-87.00,-5.39
5,BGWT,Bhagawati Hydropower Development Company Limited,467.00,-26.00,-5.27
6,SIGS2,Siddhartha Investment Growth Scheme-2,9.42,-0.48,-4.85
7,WNLB,Wean Nepal Laghubitta Bittiya Sanstha Limited,972.20,-39.80,-3.93
8,PCIL,Palpa Cements Industries Limited,623.20,-22.80,-3.53
9,SPHL,Sayapatri Hydropower Limited,521.00,-19.00,-3.52
10,NSY,Nepal Life Samriddhi Lagani Yojana,9.00,-0.30,-3.23
11,SKHEL,Suryakunda Hydro Electric Limited,790.00,-25.00,-3.07
12,NICAD2091,7% NIC Asia Debenture 2091,1061.20,-32.80,-3.00
13,GRDBL,Green Development Bank Limited,950.00,-28.90,-2.95
14,GLBSL,Gurans Laghubitta Bittiya Sanstha Limited,1630.00,-49.00,-2.92
15,MEPDL,Mount Everest Power Development Limited,611.90,-18.10,-2.87
