label,value
Total Turnovers (Rs.),"2,906,943,633.00"
Total Traded Shares,"7,613,681"
Total Transaction,"48,341"
Total Scrips Traded,341
Total Market Cap (Rs.),"4,339,319.28 Millions"
Floated Market Cap (Rs.),"1,462,607.45 Millions"
