rank,symbol,company_name,turnover,ltp
1,SOHL,Solu Hydropower Limited,138279062.60,659.00
2,SHIVM,Shivam Cements Limited,136398370.80,654.00
3,AKJCL,Ankhukhola Hydropower Company Limited,103623644.10,342.60
4,RIDI,Ridi Power Company Limited,91345861.70,347.70
5,TAMOR,Sanima Middle Tamor Hydropower Limited,90832498.50,495.00
6,CHCL,Chilime Hydro power Company Limited,73487087.80,372.00
7,SAPIL,Sarvottam Paints Industries Limited,64852198.50,1253.00
8,RSML,Reliance Spinning Mills Limited,62455325.20,2718.00
9,SAHAS,Sahas Urja Limited,55461193.60,685.00
10,SBL,Siddhartha Bank Limited,48578160.90,407.70
11,SANIMA,Sanima Bank Limited,47190520.70,358.00
12,RHPL,Rasuwagadhi Hydropower Company Limited,44939235.40,168.70
13,SHPC,Sanima Mai Hydropower Limited,42176938.80,497.90
14,NRN,NRN Infrastructure and Development Limited,40673707.20,1363.00
15,SYPNL,SY Panel Nepal Limited,40095313.80,1260.10
