rank,broker_code,broker_name,purchase_amount,sales_amount,total_amount,difference,matching_amount
1,58,Naasa Securities Co. Ltd.,230457778.12,165011406.40,395469184.52,65446371.72,19174634.40
2,45,Imperial Securities Co. Limited,84492040.10,141804997.90,226297038.00,-57312957.80000001,7898707.80
3,34,Vision Securities Pvt.Limited,134414516.40,87580547.30,221995063.70,46833969.10000001,5723508.00
4,42,Sani Securities Company Limited,112726735.40,104917024.40,217643759.80,7809711.0,10183101.60
5,48,Trishakti Securities Public Limited,92119979.10,96258367.40,188378346.50,-4138388.300000012,25058469.00
6,49,Online Securities Limited,81299457.70,103758827.50,185058285.20,-22459369.799999997,4038828.60
7,33,Dakshinkali Investment Securities Pvt.Limited,88131849.70,84506836.70,172638686.40,3625013.0,23743179.00
8,44,Dynamic Money Managers Securities Pvt.Ltd,80934443.00,80552978.90,161487421.90,381464.09999999404,8724291.80
9,57,Arya Tara Investment And Securities Pvt. Ltd.,98323858.73,59254439.30,157578298.03,39069419.43000001,14692587.80
10,32,Premier Securites Company Limited,61788839.70,83421663.30,145210503.00,-21632823.599999994,1731322.00
11,17,ABC Securities Pvt. Limited,63030720.80,81945004.20,144975725.00,-18914283.400000006,6418056.20
12,38,Dipshika Dhitopatra Karobar Co. Pvt.Limited,60490864.00,61303646.60,121794510.60,-812782.6000000015,5451173.20
13,56,Sri Hari Securities Pvt.Ltd,53981998.20,61574262.10,115556260.30,-7592263.8999999985,9359744.80
14,39,Sumeru Securities Pvt.Limited,44078228.50,54817101.20,98895329.70,-10738872.700000003,2413216.00
15,35,Kohinoor Investment and Securities Pvt.Ltd,45937265.80,50032623.30,95969889.10,-4095357.5,1122184.00
