rank,symbol,company_name,volume,ltp
1,AKJCL,Ankhukhola Hydropower Company Limited,302525.00,342.60
2,SFEF,Sunrise Focused Equity Fund,275500.00,9.83
3,RHPL,Rasuwagadhi Hydropower Company Limited,267473.00,168.70
4,RIDI,Ridi Power Company Limited,264912.00,347.70
5,SOHL,Solu Hydropower Limited,210674.00,659.00
6,SHIVM,Shivam Cements Limited,207849.00,654.00
7,CHCL,Chilime Hydro power Company Limited,199747.00,372.00
8,TAMOR,Sanima Middle Tamor Hydropower Limited,185492.00,495.00
9,NHPC,National Hydro Power Company Limited,151272.00,251.80
10,SANIMA,Sanima Bank Limited,131652.00,358.00
11,KBL,Kumari Bank Limited,127006.00,211.00
12,API,Api Power Company Limited,119139.00,325.60
13,SBL,Siddhartha Bank Limited,118873.00,407.70
14,PRVU,Prabhu Bank Limited,108731.00,176.80
15,AHPC,Arun Valley Hydropower Development Company Limited,93971.00,247.50
