rank,symbol,company_name,transactions,ltp
1,SHIVM,Shivam Cements Limited,1429,687.00
2,GHL,Ghalemdi Hydro Limited,1405,257.00
3,HDL,Himalayan Distillery Limited,1277,1278.30
4,HATHY,Hathway Investment Nepal Limited,1104,469.00
5,SOHL,Solu Hydropower Limited,1073,643.10
6,AKJCL,Ankhukhola Hydropower Company Limited,977,358.00
7,SGHL,Sanigad Hydro Limited,898,485.10
8,GBIME,Global IME Bank Limited,867,243.00
9,LEC,Liberty Energy Company Limited,854,254.00
10,KBL,Kumari Bank Limited,819,225.00
11,RSML,Reliance Spinning Mills Limited,760,2722.90
12,SBL,Siddhartha Bank Limited,754,457.00
13,BHCL,Bikash Hydropower Company Limited,733,559.00
14,SADBL,Shangrila Development Bank Limited,703,428.00
15,API,Api Power Company Limited,689,334.00
