rank,symbol,company_name,close,change,change_percent
1,DLBS,Dhaulagiri Laghubitta Bittiya Sanstha Limited,1341.90,175.00,15.00
2,CYCL,CYC Nepal Laghubitta Bittiya Sanstha Limited,1531.00,79.00,5.44
3,NIFRAGED,6% Nifra Harit Urja Debenture 2088/89,1082.00,51.90,5.04
4,NIFRAUR85/86,7% NIFRA Urja Rinpatra 2085/86,1050.00,39.10,3.87
5,PBD84,10.15% Prime Debenture 2084,1080.00,39.90,3.84
6,GBIMESY2,Global IME Samunnat Yojana -II,9.26,0.33,3.70
7,BHCL,Bikash Hydropower Company Limited,559.00,19.10,3.54
8,BNL,Bottlers Nepal Limited (Balaju),14244.70,414.80,3.00
9,CBLD88,10.25% Civil Bank Debenture 2088,1236.00,36.00,3.00
10,EBLD91,7.50% Everest Bank Limited Debenture  2091,1112.00,32.00,2.96
11,RSY,Reliable Samriddhi Yojana,9.57,0.27,2.90
12,GBILD84/85,11.25% Global IME Bank Debenture 2084/85,1158.00,32.00,2.84
13,GSY,Garima Samriddhi Yojana,9.21,0.24,2.68
14,MSHL,Mid Solu Hydropower Company Limited,622.00,16.00,2.64
15,SHINED,Shine Resunga Debenture,1130.00,29.00,2.63
