label,value
Total Turnovers (Rs.),"6,356,611,395.73"
Total Traded Shares,"21,622,728"
Total Transaction,"57,947"
Total Scrips Traded,352
Total Market Cap (Rs.),"4,503,363.28 Millions"
Floated Market Cap (Rs.),"1,525,748.35 Millions"
