rank,symbol,company_name,turnover,ltp
1,SHIVM,Shivam Cements Limited,383446856.30,687.00
2,RSML,Reliance Spinning Mills Limited,212561553.50,2722.90
3,HDL,Himalayan Distillery Limited,205417048.70,1278.30
4,LSL,Laxmi Sunrise Bank Limited,188492268.60,245.90
5,AKJCL,Ankhukhola Hydropower Company Limited,172978748.20,358.00
6,GHL,Ghalemdi Hydro Limited,171588595.90,257.00
7,SADBL,Shangrila Development Bank Limited,161098938.90,428.00
8,RADHI,Radhi Bidyut Company Limited,133356071.40,717.00
9,LEC,Liberty Energy Company Limited,131701276.60,254.00
10,TAMOR,Sanima Middle Tamor Hydropower Limited,130958753.20,534.00
11,SOHL,Solu Hydropower Limited,127173291.00,643.10
12,KBL,Kumari Bank Limited,124091597.40,225.00
13,NRN,NRN Infrastructure and Development Limited,115811268.40,1416.20
14,SBL,Siddhartha Bank Limited,98647036.70,457.00
15,CHDC,CEDB Holdings Limited,92881496.00,2388.00
