rank,symbol,company_name,volume,ltp
1,HLICF,HLI Large Cap Fund,5011650.00,8.41
2,LSL,Laxmi Sunrise Bank Limited,761653.00,245.90
3,NIBLGF,NIBL Growth Fund,701600.00,8.61
4,GHL,Ghalemdi Hydro Limited,663274.00,257.00
5,SHIVM,Shivam Cements Limited,555271.00,687.00
6,KBL,Kumari Bank Limited,547381.00,225.00
7,LEC,Liberty Energy Company Limited,509056.00,254.00
8,AKJCL,Ankhukhola Hydropower Company Limited,479494.00,358.00
9,SADBL,Shangrila Development Bank Limited,371863.00,428.00
10,KKHC,Khani Khola Hydropower Company Limited,279798.00,275.00
11,GBIME,Global IME Bank Limited,265723.00,243.00
12,KBLPO,Kumari Bank Limited Promotor Share,258209.00,100.00
13,RSY2,Reliable Samriddhi Yojana-2,254800.00,8.85
14,RIDI,Ridi Power Company Limited,252169.00,344.60
15,TAMOR,Sanima Middle Tamor Hydropower Limited,245926.00,534.00
