Index,Open,High,Low,Close,Point Change,% Change,Turnover
NEPSE Index,"2,670.22","2,671.04","2,613.13","2,618.03",-36.25,-1.36,"6,356,611,395.73"
Sensitive Index,475.96,476.20,466.52,467.46,-6.33,-1.33,"2,593,736,058.80"
Float Index,184.04,184.09,180.01,180.39,-2.60,-1.42,"6,165,567,507.26"
Sensitive Float Index,160.75,160.81,157.45,157.80,-2.19,-1.37,"2,593,736,058.80"
Banking SubIndex,"1,530.51","1,531.93","1,494.92","1,497.87",-18.59,-1.22,"884,549,510.20"
Development Bank Index,"5,558.90","5,563.28","5,432.27","5,443.83",-75.49,-1.36,"432,102,229.70"
Finance Index,"2,266.15","2,267.01","2,216.79","2,230.87",-24.76,-1.09,"103,091,926.60"
Hotels And Tourism,"7,225.69","7,248.35","7,135.96","7,161.86",-70.90,-0.98,"119,736,947.71"
HydroPower Index,"3,645.77","3,660.63","3,589.33","3,598.63",-60.99,-1.66,"2,703,107,025.40"
Investment,100.07,100.11,96.32,96.54,-1.46,-1.49,"367,278,141.50"
Life Insurance,"12,266.21","12,273.03","11,779.63","11,800.79",-246.65,-2.04,"153,927,509.10"
Manufacturing And Processing,"10,674.58","10,706.84","10,608.07","10,638.15",-48.19,-0.45,"1,006,166,937.20"
Microfinance Index,"4,583.89","4,585.51","4,516.85","4,530.62",-60.33,-1.31,"227,808,107.80"
Mutual Fund,19.58,19.60,19.46,19.58,-0.03,-0.15,"55,279,295.97"
Non Life Insurance,"9,795.79","9,801.14","9,607.86","9,666.00",-129.78,-1.32,"41,153,196.60"
Others Index,"1,889.70","1,889.70","1,819.11","1,829.74",-30.88,-1.65,"87,074,308.05"
Trading Index,"3,279.97","3,332.92","3,238.56","3,238.56",-41.40,-1.26,"39,571,667.40"
