rank,broker_code,broker_name,purchase_amount,sales_amount,total_amount,difference,matching_amount
1,58,Naasa Securities Co. Ltd.,452399126.64,464532244.40,916931371.04,-12133117.75999999,93599033.80
2,42,Sani Securities Company Limited,250838298.30,216943767.10,467782065.40,33894531.20000002,14769282.00
3,45,Imperial Securities Co. Limited,224876245.10,213218368.10,438094613.20,11657877.0,30882270.20
4,34,Vision Securities Pvt.Limited,166689423.60,221930860.40,388620284.00,-55241436.80000001,13288747.20
5,49,Online Securities Limited,160978922.40,220522365.10,381501287.50,-59543442.69999999,20953495.44
6,44,Dynamic Money Managers Securities Pvt.Ltd,190604039.40,172111381.10,362715420.50,18492658.300000012,55254899.20
7,77,Nabil Stock Dealer Limited,164973235.50,167157560.80,332130796.30,-2184325.300000012,32428848.40
8,33,Dakshinkali Investment Securities Pvt.Limited,226453525.40,99301486.30,325755011.70,127152039.10000001,7684595.80
9,14,Nepal Stock House Pvt. Limited,204885321.20,116686504.64,321571825.84,88198816.55999999,11980531.20
10,35,Kohinoor Investment and Securities Pvt.Ltd,145609423.40,171936183.20,317545606.60,-26326759.799999982,4152186.00
11,17,ABC Securities Pvt. Limited,153890891.90,155492999.70,309383891.60,-1602107.7999999821,5899816.60
12,57,Arya Tara Investment And Securities Pvt. Ltd.,158081576.50,150332034.20,308413610.70,7749542.300000012,36981745.40
13,48,Trishakti Securities Public Limited,147768760.40,148428261.90,296197022.30,-659501.5,8252582.80
14,38,Dipshika Dhitopatra Karobar Co. Pvt.Limited,141706274.95,145804156.88,287510431.83,-4097881.930000007,4640534.80
15,28,Shree Krishna Securities Limited,101334652.60,167868149.10,269202801.70,-66533496.5,72708240.00
