rank,symbol,company_name,volume,ltp
1,AKJCL,Ankhukhola Hydropower Company Limited,619740.00,363.00
2,RIDI,Ridi Power Company Limited,447865.00,349.50
3,NHPC,National Hydro Power Company Limited,426685.00,269.00
4,KBL,Kumari Bank Limited,368801.00,220.00
5,NGPL,Ngadi Group Power Limited,360263.00,418.20
6,API,Api Power Company Limited,217252.00,339.90
7,CITY,City Hotel Limited,216050.00,382.00
8,HDHPC,Himal Dolakha Hydropower Company Limited,208257.00,216.10
9,SSHL,Shiva Shree Hydropower Limited,191735.00,207.50
10,LSL,Laxmi Sunrise Bank Limited,156215.00,222.80
11,PRVU,Prabhu Bank Limited,146628.00,197.00
12,UPPER,Upper Tamakoshi Hydropower Limited,130802.00,199.00
13,UMHL,United Modi Hydropower Limited,125723.00,591.00
14,LEC,Liberty Energy Company Limited,125636.00,218.80
15,CFCL,Central Finance Limited,123942.00,631.60
