Index,Open,High,Low,Close,Point Change,% Change,Turnover
NEPSE Index,"2,598.95","2,677.64","2,598.24","2,677.54",79.74,3.06,"4,575,094,723.51"
Sensitive Index,456.17,468.38,456.17,468.38,11.51,2.51,"1,527,986,354.30"
Float Index,178.68,184.04,178.60,184.03,5.45,3.05,"4,537,366,252.20"
Sensitive Float Index,154.17,158.56,154.17,158.56,4.13,2.67,"1,527,986,354.30"
Banking SubIndex,"1,430.06","1,461.42","1,427.67","1,460.60",34.43,2.41,"422,740,938.10"
Development Bank Index,"5,569.14","5,694.15","5,545.03","5,694.15",121.92,2.18,"296,991,852.10"
Finance Index,"2,365.50","2,447.32","2,362.49","2,445.74",80.24,3.39,"272,146,243.20"
Hotels And Tourism,"7,073.09","7,353.29","7,073.09","7,332.48",259.38,3.66,"146,256,437.30"
HydroPower Index,"3,551.56","3,700.77","3,537.01","3,699.61",162.31,4.58,"2,128,399,985.90"
Investment,95.10,99.06,95.10,99.06,3.92,4.12,"210,111,247.60"
Life Insurance,"11,908.85","12,266.37","11,846.41","12,266.37",328.12,2.74,"92,950,830.60"
Manufacturing And Processing,"10,073.90","10,614.68","10,073.90","10,612.86",467.35,4.60,"562,278,323.50"
Microfinance Index,"4,603.22","4,695.72","4,602.28","4,695.63",83.41,1.80,"160,833,620.60"
Mutual Fund,21.79,21.80,21.56,21.72,-0.06,-0.29,"3,705,241.21"
Non Life Insurance,"10,846.24","11,049.11","10,824.19","11,043.12",228.89,2.11,"93,358,531.20"
Others Index,"1,896.47","1,954.98","1,896.47","1,950.92",52.68,2.77,"147,518,211.10"
Trading Index,"3,301.50","3,371.50","3,273.87","3,329.20",27.70,0.83,"3,780,031.00"
