rank,broker_code,broker_name,purchase_amount,sales_amount,total_amount,difference,matching_amount
1,58,Naasa Securities Co. Ltd.,394498066.93,291899845.50,686397912.43,102598221.43,57160964.60
2,45,Imperial Securities Co .Pvt.Limited,131207681.60,165660936.20,296868617.80,-34453254.599999994,11417158.20
3,42,Sani Securities Company Limited,156517854.70,136393146.40,292911001.10,20124708.299999982,8582645.20
4,34,Vision Securities Pvt.Limited,152215807.20,135398165.50,287613972.70,16817641.699999988,28621445.20
5,48,Trishakti Securities Public Limited,130184375.80,147850934.80,278035310.60,-17666559.000000015,40357044.00
6,49,Online Securities Limited,151791288.40,122133845.80,273925134.20,29657442.60000001,15032986.80
7,32,Premier Securites Company Limited,118188945.20,104871081.30,223060026.50,13317863.900000006,4683736.00
8,77,Nabil Stock Dealer Limited,138157489.10,75640318.40,213797807.50,62517170.69999999,109560.00
9,57,Arya Tara Investment And Securities Pvt. Ltd.,103660490.30,97766189.35,201426679.65,5894300.950000003,5501119.20
10,92,Roadshow securities limited,157662915.10,42184664.20,199847579.30,115478250.89999999,20056493.60
11,17,ABC Securities Pvt. Limited,92311820.70,104786637.60,197098458.30,-12474816.899999991,4536867.20
12,44,Dynamic Money Managers Securities Pvt.Ltd,82210135.00,112934782.10,195144917.10,-30724647.099999994,15397570.80
13,62,Capital Max Securities Limited,83005134.20,101900375.50,184905509.70,-18895241.299999997,11983601.60
14,38,Dipshika Dhitopatra Karobar Co. Pvt.Limited,100512515.30,80263638.68,180776153.98,20248876.61999999,5371814.60
15,91,C.B.I.L. Securities Limited,54832424.60,109785851.20,164618275.80,-54953426.6,1487760.00
