label,value
Total Turnovers (Rs.),"4,575,094,723.51"
Total Traded Shares,"10,389,077"
Total Transaction,"58,094"
Total Scrips Traded,335
Total Market Cap (Rs.),"4,600,568.50 Millions"
Floated Market Cap (Rs.),"1,554,729.71 Millions"
