rank,symbol,company_name,transactions,ltp
1,MEPDL,Mount Everest Power Development Limited,2854,797.60
2,SGHL,Sanigad Hydro Limited,1518,534.00
3,SOHL,Solu Hydropower Limited,1440,699.00
4,SMHL,Super Madi Hydropower Limited,1376,522.90
5,SAHAS,Sahas Urja Limited,1310,709.00
6,RSML,Reliance Spinning Mills Limited,987,2784.00
7,KAHL,Kalanga Hydro Limited,958,540.00
8,TAMOR,Sanima Middle Tamor Hydropower Limited,789,481.80
9,KKHC,Khani Khola Hydropower Company Limited,741,278.80
10,MEN,Mountain Energy Nepal Limited,731,639.00
11,TPKHL,Taksar Pikhuwa Khola Hydropower Limited,721,556.00
12,MEHL,Manakamana Engineering Hydropower Limited,651,250.00
13,SOPL,Sopan Pharmaceuticals Limited,648,776.00
14,CORBL,Corporate Development Bank Limited,590,994.00
15,PCIL,Palpa Cements Industries Limited,571,622.90
