Index,Open,High,Low,Close,Point Change,% Change,Turnover
NEPSE Index,"2,622.00","2,629.56","2,608.38","2,629.40",7.17,0.27,"4,401,409,858.13"
Sensitive Index,461.30,462.89,459.06,462.89,1.88,0.40,"1,032,339,046.00"
Float Index,179.97,180.39,179.10,180.38,0.42,0.23,"3,866,106,334.79"
Sensitive Float Index,155.84,156.31,155.20,156.31,0.55,0.35,"1,032,339,046.00"
Banking SubIndex,"1,444.57","1,448.56","1,439.00","1,448.15",4.18,0.28,"376,626,166.20"
Development Bank Index,"5,526.38","5,531.84","5,492.27","5,511.85",-20.65,-0.37,"177,800,252.60"
Finance Index,"2,334.01","2,337.82","2,318.41","2,328.83",-4.60,-0.19,"80,592,641.80"
Hotels And Tourism,"7,244.14","7,253.25","7,183.50","7,222.57",-3.68,-0.05,"62,038,720.00"
HydroPower Index,"3,723.93","3,752.29","3,687.98","3,750.98",37.06,0.99,"2,272,024,525.00"
Investment,95.68,95.71,95.04,95.71,0.05,0.05,"88,771,387.80"
Life Insurance,"11,616.22","11,640.37","11,546.75","11,636.64",2.93,0.02,"90,687,573.89"
Manufacturing And Processing,"10,288.15","10,404.24","10,265.08","10,402.47",76.45,0.74,"470,579,827.70"
Microfinance Index,"4,510.92","4,513.09","4,485.78","4,511.50",-2.60,-0.05,"117,157,796.50"
Mutual Fund,20.84,20.84,20.62,20.70,-0.13,-0.65,"10,278,686.05"
Non Life Insurance,"10,508.98","10,545.32","10,393.26","10,424.34",-50.63,-0.48,"39,940,676.90"
Others Index,"1,913.28","1,930.61","1,896.39","1,924.31",1.87,0.09,"82,722,586.40"
Trading Index,"3,282.72","3,361.29","3,244.32","3,275.58",-7.14,-0.21,"7,164,180.00"
